id,timestamp,genero,edad,nivel_estudios,rama_estudios,anos_experiencia,pais_residencia,pregunta_1,pregunta_2,pregunta_3,pregunta_4_otro,pregunta_5,pregunta_6_otro,pregunta_7,pregunta_8,pregunta_9,pregunta_10,pregunta_11,pregunta_12,pregunta_13,pregunta_14,pregunta_15,pregunta_16,pregunta_17,pregunta_18,pregunta_19,pregunta_20,pregunta_21,pregunta_22,pregunta_23,pregunta_24,pregunta_25,pregunta_26,nivel_estudios_otro,opción_otro_9,opción_otro_8,rama_estudios_otro
113,2025-05-19 06:21:08+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ciencias Sociales y Jurídicas (ADE, Comunicación Audiovisual, Criminología, Derecho, Economía, Periodismo, Turismo, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Estudio académico""]",,"Ciencias sociales (Economía, Historia,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","A menudo, en función del contexto",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,No estoy de acuerdo,"No, deberían estar restringidas por edad ",La empresa desarrolladora de la IA.,La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Muy baja,"Sí, algo",,,,
115,2025-05-19 06:31:40+00,Masculino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Estudio académico""]",,Programación / Ingeniería,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,La empresa desarrolladora de la IA.,La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Neutral,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más confianza tengo",Media,"No, no influiría en mi decisión",,,,
116,2025-05-19 06:35:57+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, diariamente","[""Estudio académico""]",,Programación / Ingeniería,,"No, porque la IA analiza los datos de forma neutral","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),La empresa Air Canada,No estoy de acuerdo,"No, deberían estar restringidas por edad ","El entorno del joven (familiares, escuela, amigos, etc.)",La plataforma (Chai) que permitió la interacción,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Totalmente acuerdo,"[""Decisiones logísticas"",""Decisiones legales o judiciales""]","Sí, cuanto más sé, más desconfío",Alta,"Sí, definitivamente",,,,
117,2025-05-19 06:54:31+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Uso personal"",""Estudio académico""]",,Programación / Ingeniería,,"No, porque la IA analiza los datos de forma neutral","A menudo, en función del contexto",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,No estoy de acuerdo,"No, deberían estar restringidas por edad ",La empresa desarrolladora de la IA.,La empresa responsable del chatbot,Depende del tipo de IA y su finalidad,Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Acuerdo,"[""Ninguna""]","Sí, cuanto más sé, más desconfío",Media,"Sí, algo",,,,
118,2025-05-19 07:38:28+00,Masculino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",4 - 6 años,España,Ambas respuestas son correctas,"Sí, diariamente","[""Estudio académico"",""Trabajo""]",,Programación / Ingeniería,,No estoy seguro/a,"No, las personas podemos decidir de forma totalmente objetiva",Un sistema con IA,Todos los anteriores comparten responsabilidad,No creo que sea necesario regular ni concienciar sobre la IA,La empresa Air Canada,No estoy de acuerdo,"Sí, siempre que el usuario acepte los términos de uso",La empresa desarrolladora de la IA.,La empresa responsable del chatbot,Depende del tipo de IA y su finalidad,Neutral,Acuerdo,Neutral,Neutral,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más confianza tengo",Alta,"Sí, algo",,,,
120,2025-05-19 09:03:32+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, esporádicamente","[""Estudio académico""]",,Programación / Ingeniería,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),La empresa Air Canada,Estoy de acuerdo,"No, deberían estar restringidas por edad ","El entorno del joven (familiares, escuela, amigos, etc.)",La empresa responsable del chatbot,Depende del tipo de IA y su finalidad,Totalmente acuerdo,Neutral,Totalmente acuerdo,Neutral,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Baja,"Sí, algo",,,,
121,2025-05-19 09:12:45+00,Masculino,18 - 24,Estudios secundarios,"Ciencias (Ciencias Ambientales, Física, Geología, Matemáticas, Química, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Uso personal"",""Estudio académico""]",,"Ciencias (Matemáticas, Física, Biología,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,"No, deberían estar restringidas por edad ","El entorno del joven (familiares, escuela, amigos, etc.)",La plataforma (Chai) que permitió la interacción,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Acuerdo,Acuerdo,Neutral,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más confianza tengo",Alta,"Sí, definitivamente",,,,
122,2025-05-19 09:15:05+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",1 - 3 años,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, diariamente","[""Uso personal"",""Estudio académico"",""Trabajo""]",,Programación / Ingeniería,,"No, porque la IA analiza los datos de forma neutral","Sí, siempre tenemos algún tipo de sesgo",Una persona,Los gobiernos y organismos reguladores,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,"No, deberían estar restringidas por edad ",La empresa desarrolladora de la IA.,El hombre que mantenía la conversación,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Desacuerdo,Neutral,Neutral,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Alta,"Sí, definitivamente",,,,
123,2025-05-19 11:12:56+00,Masculino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",1 - 3 años,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, diariamente","[""Uso personal"",""Estudio académico""]",,Programación / Ingeniería,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Un sistema con IA,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,"El entorno del joven (familiares, escuela, amigos, etc.)",La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Desacuerdo,Totalmente acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Media,"Sí, definitivamente",,,,
130,2025-05-19 15:40:40+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, semanalmente","[""Uso personal"",""Estudio académico""]",,Programación / Ingeniería,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,"No, deberían estar restringidas por edad ",La empresa desarrolladora de la IA.,La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Neutral,Desacuerdo,"[""Decisiones logísticas""]","No, mi opinión no depende de lo que sepa sobre ella",Media,"Sí, definitivamente",,,,
131,2025-05-19 15:48:01+00,Femení,18 - 24,Estudis universitaris (o superiors als secundaris),"Enginyeries i Arquitectura (Enginyeria, Industrials, Informàtica, Telecomunicacions, ...)",4 - 6 anys,España,Ambdues respostes són correctes,"Sí, diàriament","[""Estudi acadèmic""]",,Programació / Enginyeria,,"Sí, perquè aprenen de dades que poden estar esbiaixades per la societat","Sí, sempre tenim algun tipus de biaix",Un sistema amb IA,Les empreses que desenvolupen els algoritmes,A l’educació primària i secundària (escoles),L'empresa Air Canada,Hi estic d'acord,"No, haurien d'estar restringides per edat",L'empresa desenvolupadora de la IA,L’home que mantenia la conversa,Depèn del tipus d’IA i la seva finalitat,Totalment d'acord,Neutral,D'acord,En desacord,D'acord,"[""Decisions logístiques""]","Sí, com més en sé, menys confiança hi tinc",Baix,"Sí, una mica",,,,
132,2025-05-19 15:56:46+00,Masculino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",4 - 6 años,Otro,Ambas respuestas son correctas,"Sí, diariamente","[""Uso personal"",""Estudio académico"",""Trabajo""]",,"Ciencias (Matemáticas, Física, Biología,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la universidad,Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,"El entorno del joven (familiares, escuela, amigos, etc.)",La empresa responsable del chatbot,Depende del tipo de IA y su finalidad,Acuerdo,Totalmente acuerdo,Neutral,Totalmente acuerdo,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más confianza tengo",Media,"No, no influiría en mi decisión",,,,
133,2025-05-19 15:57:26+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),Otros,1 - 3 años,España,Ambas respuestas son correctas,"Sí, diariamente","[""Estudio académico""]",,"Ciencias sociales (Economía, Historia,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Las empresas que desarrollan los algoritmos,En la educación primaria y secundaria (colegios),La empresa Air Canada,No estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,"El entorno del joven (familiares, escuela, amigos, etc.)",El hombre que mantenía la conversación,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Desacuerdo,Neutral,Acuerdo,"[""Decisiones logísticas""]","No, mi opinión no depende de lo que sepa sobre ella",Media,"No, no influiría en mi decisión",,,,
134,2025-05-19 15:57:56+00,Masculino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ciencias Sociales y Jurídicas (ADE, Comunicación Audiovisual, Criminología, Derecho, Economía, Periodismo, Turismo, ...)",1 - 3 años,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, diariamente","[""Uso personal"",""Estudio académico"",""Trabajo""]",,Negocios y finanzas,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","A menudo, en función del contexto",Una persona,Las empresas que desarrollan los algoritmos,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,"Sí, siempre que el usuario acepte los términos de uso",La empresa desarrolladora de la IA.,La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Acuerdo,Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,"[""Decisiones logísticas"",""Decisiones legales o judiciales""]","No, mi opinión no depende de lo que sepa sobre ella",Media,"Sí, definitivamente",,,,
135,2025-05-19 15:58:06+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ciencias Sociales y Jurídicas (ADE, Comunicación Audiovisual, Criminología, Derecho, Economía, Periodismo, Turismo, ...)",1 - 3 años,España,Ambas respuestas son correctas,"Sí, diariamente","[""Estudio académico""]",,"Humanidades (Lengua, literatura, idiomas,...)",,"No, porque la IA analiza los datos de forma neutral","A menudo, en función del contexto",Un sistema con IA,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),La empresa Air Canada,Estoy de acuerdo,"No, deberían estar restringidas por edad ","El entorno del joven (familiares, escuela, amigos, etc.)",La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Acuerdo,Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Acuerdo,"[""Decisiones logísticas""]","No, mi opinión no depende de lo que sepa sobre ella",Media,"Sí, algo",,,,
137,2025-05-19 16:00:35+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ciencias Sociales y Jurídicas (ADE, Comunicación Audiovisual, Criminología, Derecho, Economía, Periodismo, Turismo, ...)",4 - 6 años,España,Ambas respuestas son correctas,"Sí, diariamente","[""Uso personal"",""Estudio académico"",""Trabajo""]",,"Ciencias sociales (Economía, Historia,...)",,"No, porque la IA analiza los datos de forma neutral","A menudo, en función del contexto",Un sistema con IA,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),La empresa Air Canada,No estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,El joven estadounidense de 17 años,La plataforma (Chai) que permitió la interacción,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Neutral,Neutral,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Alta,"Sí, algo",,,,
138,2025-05-19 16:01:11+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ciencias Sociales y Jurídicas (ADE, Comunicación Audiovisual, Criminología, Derecho, Economía, Periodismo, Turismo, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Uso personal"",""Trabajo""]",,"Ciencias sociales (Economía, Historia,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Los gobiernos y organismos reguladores,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,"El entorno del joven (familiares, escuela, amigos, etc.)",La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Neutral,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Baja,"Sí, algo",,,,
139,2025-05-19 16:01:14+00,Masculino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",1 - 3 años,España,Campo científico de la informática centrado en la creación de programas considerados inteligentes,"Sí, diariamente","[""Estudio académico""]",,Programación / Ingeniería,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Las empresas que desarrollan los algoritmos,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,El joven estadounidense de 17 años,El hombre que mantenía la conversación,Depende del tipo de IA y su finalidad,Totalmente acuerdo,Neutral,Acuerdo,Totalmente acuerdo,Totalmente acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Alta,"Sí, algo",,,,
140,2025-05-19 16:05:07+00,Femenino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Biociencias (Biología, Bioquímica, Genética, Microbiología, ...)",4 - 6 años,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, semanalmente","[""Estudio académico""]",,"Ciencias (Matemáticas, Física, Biología,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,"No, deberían estar restringidas por edad ","El entorno del joven (familiares, escuela, amigos, etc.)",El hombre que mantenía la conversación,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Acuerdo,Totalmente acuerdo,Acuerdo,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Media,"Sí, definitivamente",,,,
141,2025-05-19 16:18:12+00,Femenino,25 - 34,Estudios universitarios (o superiores a los secundarios),"Ciencias de la Salud (Enfermería, Medicina, Psicología, Odontología, Veterinaria, ...",1 - 3 años,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Estudio académico""]",,Otros,medicina,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","A menudo, en función del contexto",Una persona,"Los usuarios, que deben usar la IA de forma crítica",En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,"El entorno del joven (familiares, escuela, amigos, etc.)",El hombre que mantenía la conversación,Depende del tipo de IA y su finalidad,Totalmente acuerdo,Totalmente acuerdo,Neutral,Acuerdo,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Media,"Sí, algo",,medicina,,
142,2025-05-19 16:22:09+00,Masculino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Biociencias (Biología, Bioquímica, Genética, Microbiología, ...)",4 - 6 años,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Uso personal"",""Estudio académico"",""Trabajo""]",,"Ciencias (Matemáticas, Física, Biología,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","A menudo, en función del contexto",Una persona,Todos los anteriores comparten responsabilidad,En la universidad,Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,"El entorno del joven (familiares, escuela, amigos, etc.)",La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Desacuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Media,"Sí, algo",,,,
144,2025-05-19 16:24:30+00,Masculino,18 - 24,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",4 - 6 años,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, diariamente","[""Uso personal"",""Estudio académico""]",,Programación / Ingeniería,,"No, porque la IA analiza los datos de forma neutral","Sí, siempre tenemos algún tipo de sesgo",Una persona,Las empresas que desarrollan los algoritmos,En la universidad,Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,La empresa desarrolladora de la IA.,La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Acuerdo,Totalmente acuerdo,"[""Decisiones logísticas"",""Decisiones legales o judiciales""]","Sí, cuanto más sé, más confianza tengo",Media,"Sí, algo",,,,
