id,timestamp,genero,edad,nivel_estudios,rama_estudios,anos_experiencia,pais_residencia,pregunta_1,pregunta_2,pregunta_3,pregunta_4,pregunta_5,pregunta_6,pregunta_7,pregunta_8,pregunta_9,pregunta_10,pregunta_11,pregunta_12,pregunta_13,pregunta_14,pregunta_15,pregunta_16,pregunta_17,pregunta_18,pregunta_19,pregunta_20,pregunta_21,pregunta_22,pregunta_23,pregunta_24,pregunta_25,pregunta_26,nivel_estudios_otro,opción_otro_9,opción_otro_8,rama_estudios_otro,pregunta_27,pregunta_28,pregunta_29,pregunta_30
113,2025-05-19 06:21:08+00,Femenino,,Estudios universitarios (o superiores a los secundarios),"Ciencias Sociales y Jurídicas (ADE, Comunicación Audiovisual, Criminología, Derecho, Economía, Periodismo, Turismo, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Estudio académico""]",,"Ciencias sociales (Economía, Historia,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","A menudo, en función del contexto",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,No estoy de acuerdo,"No, deberían estar restringidas por edad ",La empresa desarrolladora de la IA.,La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Muy baja,"Sí, algo",,,,,,,,
114,2025-05-19 06:21:48+00,Femenino,,Estudios universitarios (o superiores a los secundarios),"Ciencias Sociales y Jurídicas (ADE, Comunicación Audiovisual, Criminología, Derecho, Economía, Periodismo, Turismo, ...)",Menos de 1 año,España,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2025-05-19 06:31:40+00,Masculino,,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Estudio académico""]",,Programación / Ingeniería,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,La empresa desarrolladora de la IA.,La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Neutral,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más confianza tengo",Media,"No, no influiría en mi decisión",,,,,,,,
116,2025-05-19 06:35:57+00,Femenino,,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, diariamente","[""Estudio académico""]",,Programación / Ingeniería,,"No, porque la IA analiza los datos de forma neutral","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),La empresa Air Canada,No estoy de acuerdo,"No, deberían estar restringidas por edad ","El entorno del joven (familiares, escuela, amigos, etc.)",La plataforma (Chai) que permitió la interacción,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Totalmente acuerdo,"[""Decisiones logísticas"",""Decisiones legales o judiciales""]","Sí, cuanto más sé, más desconfío",Alta,"Sí, definitivamente",,,,,,,,
117,2025-05-19 06:54:31+00,Femenino,,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Uso personal"",""Estudio académico""]",,Programación / Ingeniería,,"No, porque la IA analiza los datos de forma neutral","A menudo, en función del contexto",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,No estoy de acuerdo,"No, deberían estar restringidas por edad ",La empresa desarrolladora de la IA.,La empresa responsable del chatbot,Depende del tipo de IA y su finalidad,Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Acuerdo,Acuerdo,"[""Ninguna""]","Sí, cuanto más sé, más desconfío",Media,"Sí, algo",,,,,,,,
118,2025-05-19 07:38:28+00,Masculino,,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",4 - 6 años,España,Ambas respuestas son correctas,"Sí, diariamente","[""Estudio académico"",""Trabajo""]",,Programación / Ingeniería,,No estoy seguro/a,"No, las personas podemos decidir de forma totalmente objetiva",Un sistema con IA,Todos los anteriores comparten responsabilidad,No creo que sea necesario regular ni concienciar sobre la IA,La empresa Air Canada,No estoy de acuerdo,"Sí, siempre que el usuario acepte los términos de uso",La empresa desarrolladora de la IA.,La empresa responsable del chatbot,Depende del tipo de IA y su finalidad,Neutral,Acuerdo,Neutral,Neutral,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más confianza tengo",Alta,"Sí, algo",,,,,,,,
119,2025-05-19 07:38:35+00,Masculino,,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",4 - 6 años,España,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2025-05-19 09:03:32+00,Femenino,,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",Menos de 1 año,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, esporádicamente","[""Estudio académico""]",,Programación / Ingeniería,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),La empresa Air Canada,Estoy de acuerdo,"No, deberían estar restringidas por edad ","El entorno del joven (familiares, escuela, amigos, etc.)",La empresa responsable del chatbot,Depende del tipo de IA y su finalidad,Totalmente acuerdo,Neutral,Totalmente acuerdo,Neutral,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Baja,"Sí, algo",,,,,,,,
121,2025-05-19 09:12:45+00,Masculino,,Estudios secundarios,"Ciencias (Ciencias Ambientales, Física, Geología, Matemáticas, Química, ...)",Menos de 1 año,España,Ambas respuestas son correctas,"Sí, semanalmente","[""Uso personal"",""Estudio académico""]",,"Ciencias (Matemáticas, Física, Biología,...)",,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Una persona,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,"No, deberían estar restringidas por edad ","El entorno del joven (familiares, escuela, amigos, etc.)",La plataforma (Chai) que permitió la interacción,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Acuerdo,Acuerdo,Neutral,Acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más confianza tengo",Alta,"Sí, definitivamente",,,,,,,,
122,2025-05-19 09:15:05+00,Femenino,,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",1 - 3 años,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, diariamente","[""Uso personal"",""Estudio académico"",""Trabajo""]",,Programación / Ingeniería,,"No, porque la IA analiza los datos de forma neutral","Sí, siempre tenemos algún tipo de sesgo",Una persona,Los gobiernos y organismos reguladores,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,"No, deberían estar restringidas por edad ",La empresa desarrolladora de la IA.,El hombre que mantenía la conversación,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Desacuerdo,Neutral,Neutral,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Alta,"Sí, definitivamente",,,,,,,,
123,2025-05-19 11:12:56+00,Masculino,,Estudios universitarios (o superiores a los secundarios),"Ingenierías y Arquitectura (Ingeniería, Industriales, Informática, Telecos, ...)",1 - 3 años,España,"Capacidad de las máquinas para usar algoritmos, aprender de los datos y utilizar lo aprendido en la toma de decisiones tal y como lo haría un ser humano","Sí, diariamente","[""Uso personal"",""Estudio académico""]",,Programación / Ingeniería,,"Sí, porque aprenden de datos que pueden estar sesgados por la sociedad","Sí, siempre tenemos algún tipo de sesgo",Un sistema con IA,Todos los anteriores comparten responsabilidad,En la educación primaria y secundaria (colegios),Jake Moffatt,Estoy de acuerdo,Deberían estar etiquetadas con advertencias sobre su contenido,"El entorno del joven (familiares, escuela, amigos, etc.)",La empresa responsable del chatbot,"Sí, debería ser un requisito mínimo",Totalmente acuerdo,Totalmente acuerdo,Totalmente acuerdo,Desacuerdo,Totalmente acuerdo,"[""Decisiones logísticas""]","Sí, cuanto más sé, más desconfío",Media,"Sí, definitivamente",,,,,,,,